country_id,year,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption
54,2019,5.809,1.173,1.508,0.729,0.41,0.146,0.096
51,2019,5.779,0.776,1.209,0.706,0.511,0.137,0.064
104,2019,5.758,1.201,1.41,0.828,0.199,0.081,0.02
53,2019,5.743,0.855,1.475,0.777,0.514,0.184,0.08
168,2019,5.718,1.263,1.252,1.042,0.417,0.191,0.162
58,2019,5.697,0.96,1.274,0.854,0.455,0.083,0.027
88,2019,5.693,1.221,1.431,0.999,0.508,0.047,0.025
81,2019,5.653,0.677,0.886,0.535,0.313,0.22,0.098
64,2019,5.648,1.183,1.452,0.726,0.334,0.082,0.031
90,2019,5.631,0.807,1.293,0.657,0.558,0.117,0.107
87,2019,5.603,1.004,1.383,0.854,0.282,0.137,0.039
52,2019,5.529,0.685,1.328,0.739,0.245,0.181,0.0
63,2019,5.525,1.044,1.303,0.673,0.416,0.133,0.152
83,2019,5.523,1.051,1.361,0.871,0.197,0.142,0.08
106,2019,5.467,0.493,1.098,0.718,0.389,0.23,0.144
62,2019,5.432,1.155,1.266,0.914,0.296,0.119,0.022
72,2019,5.43,1.438,1.277,1.122,0.44,0.258,0.287
98,2019,5.425,1.015,1.401,0.779,0.497,0.113,0.101
96,2019,5.386,0.945,1.212,0.845,0.212,0.263,0.006
76,2019,5.373,1.183,1.36,0.808,0.195,0.083,0.106
61,2019,5.339,1.221,1.171,0.828,0.508,0.26,0.024
59,2019,5.323,1.067,1.465,0.789,0.235,0.094,0.142
102,2019,5.287,1.181,1.156,0.999,0.067,0.0,0.034
100,2019,5.285,0.948,1.531,0.667,0.317,0.235,0.038
169,2019,5.274,0.983,1.294,0.838,0.345,0.185,0.034
78,2019,5.265,0.696,1.111,0.245,0.426,0.215,0.041
77,2019,5.261,0.551,1.438,0.723,0.508,0.3,0.023
70,2019,5.247,1.052,1.538,0.657,0.394,0.244,0.028
68,2019,5.211,1.002,1.16,0.785,0.086,0.073,0.114
92,2019,5.208,0.801,0.782,0.782,0.418,0.036,0.076
80,2019,5.208,1.043,1.147,0.769,0.351,0.035,0.182
103,2019,5.197,0.987,1.224,0.815,0.216,0.166,0.027
74,2019,5.192,0.931,1.203,0.66,0.491,0.498,0.028
84,2019,5.191,1.029,1.125,0.893,0.521,0.058,0.1
75,2019,5.175,0.741,1.346,0.851,0.543,0.147,0.073
79,2019,5.082,0.813,1.321,0.604,0.457,0.37,0.167
133,2019,5.044,0.549,0.91,0.331,0.381,0.187,0.037
134,2019,5.011,1.092,1.513,0.815,0.311,0.081,0.004
114,2019,4.996,0.611,0.868,0.486,0.381,0.245,0.04
151,2019,4.944,0.569,0.808,0.232,0.352,0.154,0.09
121,2019,4.913,0.446,1.226,0.677,0.439,0.285,0.089
82,2019,4.906,0.837,1.225,0.815,0.383,0.11,0.13
155,2019,4.883,0.393,0.437,0.397,0.349,0.175,0.082
139,2019,4.812,0.673,0.799,0.508,0.372,0.105,0.093
143,2019,4.799,1.057,1.183,0.571,0.295,0.043,0.055
99,2019,4.796,0.764,1.03,0.551,0.547,0.266,0.164
113,2019,4.722,0.96,1.351,0.469,0.389,0.13,0.055
95,2019,4.719,0.947,0.848,0.874,0.383,0.178,0.027
23,2019,4.707,0.96,1.427,0.805,0.154,0.064,0.047
145,2019,4.7,0.574,1.122,0.637,0.609,0.232,0.062
108,2019,4.696,0.657,1.247,0.672,0.225,0.103,0.066
142,2019,4.681,0.45,1.134,0.571,0.292,0.153,0.072
161,2019,4.668,0.0,0.698,0.268,0.559,0.243,0.27
163,2019,4.639,0.879,1.313,0.477,0.401,0.07,0.056
144,2019,4.628,0.138,0.774,0.366,0.318,0.188,0.102
152,2019,4.587,0.331,1.056,0.38,0.255,0.177,0.113
127,2019,4.559,0.85,1.055,0.815,0.283,0.095,0.064
110,2019,4.548,1.1,0.842,0.785,0.305,0.27,0.125
150,2019,4.534,0.38,0.829,0.375,0.332,0.207,0.086
130,2019,4.519,0.886,0.666,0.752,0.346,0.043,0.164
170,2019,4.516,0.308,0.939,0.428,0.382,0.269,0.167
125,2019,4.509,0.512,0.983,0.581,0.431,0.372,0.053
124,2019,4.49,0.57,1.167,0.489,0.066,0.106,0.088
94,2019,4.466,0.204,0.986,0.39,0.494,0.197,0.138
107,2019,4.461,0.921,1.0,0.815,0.167,0.059,0.055
109,2019,4.456,0.562,0.928,0.723,0.527,0.166,0.143
112,2019,4.437,1.043,0.98,0.574,0.241,0.148,0.089
120,2019,4.418,0.094,1.125,0.357,0.269,0.212,0.053
138,2019,4.39,0.385,1.105,0.308,0.327,0.153,0.052
123,2019,4.374,0.268,0.841,0.242,0.309,0.252,0.045
132,2019,4.366,0.949,1.265,0.831,0.47,0.244,0.047
129,2019,4.36,0.71,1.181,0.555,0.525,0.566,0.172
149,2019,4.35,0.35,0.766,0.192,0.174,0.198,0.078
111,2019,4.332,0.82,1.39,0.739,0.178,0.187,0.01
